County,Year of Year,Population
Elk,1960,37328
Elk,1950,34503
Elk,1940,34443
Elk,1930,33431
Elk,1920,34981
Elk,1910,35871
Elk,1900,32903
Erie,2010,280566
Erie,2000,280843
Erie,1990,275572
Erie,1980,279780
Erie,1970,263654
Erie,1960,250682
Erie,1950,219388
Erie,1940,180889
Erie,1930,175277
Erie,1920,153536
Erie,1910,115517
Erie,1900,98473
Fayette,2010,136606
Fayette,2000,148644
Fayette,1990,145351
Fayette,1980,159417
Fayette,1970,154667
Fayette,1960,169340
Fayette,1950,189899
Fayette,1940,200999
Fayette,1930,198542
Fayette,1920,188104
Fayette,1910,167449
Fayette,1900,110412
Forest,2010,7716
Forest,2000,4946
Forest,1990,4802
Forest,1980,5072
Forest,1970,4926
Forest,1960,4485
Forest,1950,4944
Forest,1940,5791
Forest,1930,5180
Forest,1920,7477
Forest,1910,9435
Forest,1900,11039
Franklin,2010,149618
Franklin,2000,129313
Franklin,1990,121082
Franklin,1980,113629
Franklin,1970,100833
Franklin,1960,88172
Franklin,1950,75927
Franklin,1940,69378
Franklin,1930,65010
Franklin,1920,62275
Franklin,1910,59775
Franklin,1900,54902
Fulton,2010,14845
Fulton,2000,14261
Fulton,1990,13837
Fulton,1980,12842
Fulton,1970,10776
Fulton,1960,10597
Fulton,1950,10387
Fulton,1940,10673
Fulton,1930,9231
Fulton,1920,9617
Fulton,1910,9703
Fulton,1900,9924
Greene,2010,38686
Greene,2000,40672
Greene,1990,39550
Greene,1980,40476
Greene,1970,36090
Greene,1960,39424
Greene,1950,45394
Greene,1940,44671
Greene,1930,41767
Greene,1920,30804
Greene,1910,28882
Greene,1900,28281
Huntingdon,2010,45913
Huntingdon,2000,45586
Huntingdon,1990,44164
Huntingdon,1980,42253
Huntingdon,1970,39108
Huntingdon,1960,39457
Huntingdon,1950,40872
Huntingdon,1940,41836
Huntingdon,1930,39021
Huntingdon,1920,39848
Huntingdon,1910,38304
Huntingdon,1900,34650
Indiana,2010,88880
Indiana,2000,89605
Indiana,1990,89994
Indiana,1980,92281
Indiana,1970,79451
Indiana,1960,75366
Indiana,1950,77106
Indiana,1940,79854
Indiana,1930,75395
Indiana,1920,80910
Indiana,1910,66210
Indiana,1900,42556
Jefferson,2010,45200
Jefferson,2000,45932
Jefferson,1990,46083
Jefferson,1980,48303
Jefferson,1970,43695
Jefferson,1960,46792
Jefferson,1950,49147
Jefferson,1940,54090
Jefferson,1930,52114
Jefferson,1920,62104
Jefferson,1910,63090
Jefferson,1900,59113
Juniata,2010,24636
Juniata,2000,22821
Juniata,1990,20625
Juniata,1980,19188
Juniata,1970,16712
Juniata,1960,15874
Juniata,1950,15243
Juniata,1940,15373
Juniata,1930,14325
Juniata,1920,14464
Juniata,1910,15013
Juniata,1900,16054
Lackawanna,2010,214437
Lackawanna,2000,213295
Lackawanna,1990,219039
Lackawanna,1980,227908
Lackawanna,1970,234107
Lackawanna,1960,234531
Lackawanna,1950,257396
Lackawanna,1940,301243
Lackawanna,1930,310397
Lackawanna,1920,286311
Lackawanna,1910,259570
Lackawanna,1900,193831
Lancaster,2010,519445
Lancaster,2000,470658
Lancaster,1990,422822
Lancaster,1980,362346
Lancaster,1970,319693
Lancaster,1960,278359
Lancaster,1950,234717
Lancaster,1940,212504
Lancaster,1930,196882
Lancaster,1920,173797
Lancaster,1910,167029
Lancaster,1900,159241
Lawrence,2010,91108
Lawrence,2000,94643
Lawrence,1990,96246
Lawrence,1980,107150
Lawrence,1970,107374
Lawrence,1960,112965
Lawrence,1950,105120
Lawrence,1940,96877
Lawrence,1930,97258
Lawrence,1920,85545
Lawrence,1910,70032
Lawrence,1900,57042
Lebanon,2010,133568
Lebanon,2000,120327
Lebanon,1990,113744
Lebanon,1980,108582
Lebanon,1970,99665
Lebanon,1960,90853
Lebanon,1950,81683
Lebanon,1940,72641
Lebanon,1930,67103
Lebanon,1920,63152
Lebanon,1910,59565
Lebanon,1900,53827
Lehigh,2010,349497
Lehigh,2000,312090
Lehigh,1990,291130
Lehigh,1980,272349
Lehigh,1970,255304
Lehigh,1960,227536
Lehigh,1950,198207
Lehigh,1940,177533
Lehigh,1930,172893
Lehigh,1920,148101
Lehigh,1910,118832
Lehigh,1900,93893
Luzerne,2010,320918
Luzerne,2000,319250
Luzerne,1990,328149
Luzerne,1980,343079
Luzerne,1970,342301
Luzerne,1960,346972
Luzerne,1950,392241
Luzerne,1940,441518
Luzerne,1930,445109
Luzerne,1920,390991
Luzerne,1910,343186
Luzerne,1900,257121
Lycoming,2010,116111
Lycoming,2000,120044
Lycoming,1990,118710
Lycoming,1980,118416
Lycoming,1970,113296
Lycoming,1960,109367
Lycoming,1950,101249
Lycoming,1940,93633
Lycoming,1930,93421
Lycoming,1920,83100
Lycoming,1910,80813
Lycoming,1900,75663
McKean,2010,43450
McKean,2000,45936
McKean,1990,47131
McKean,1980,50635
McKean,1970,51915
McKean,1960,54517
McKean,1950,56607
McKean,1940,56673
McKean,1930,55167
McKean,1920,48934
McKean,1910,47868
McKean,1900,51343
Mercer,2010,116638
Mercer,2000,120293
Mercer,1990,121003
Mercer,1980,128299
Mercer,1970,127175
Mercer,1960,127519
Mercer,1950,111954
Mercer,1940,101039
Mercer,1930,99246
Mercer,1920,93788
Mercer,1910,77699
Mercer,1900,57387
Mifflin,2010,46682
Mifflin,2000,46486
Mifflin,1990,46197
Mifflin,1980,46908
Mifflin,1970,45268
Mifflin,1960,44348
Mifflin,1950,43691
Mifflin,1940,42993
Mifflin,1930,40335
Mifflin,1920,31439
Mifflin,1910,27785
Mifflin,1900,23160
Monroe,2010,169842
Monroe,2000,138687
Monroe,1990,95709
Monroe,1980,69409
Monroe,1970,45422
Monroe,1960,39567
Monroe,1950,33773
Monroe,1940,29802
Monroe,1930,28286
Monroe,1920,24295
Monroe,1910,22941
Monroe,1900,21161
Montgomery,2010,799874
Montgomery,2000,750097
Montgomery,1990,678111
Montgomery,1980,643621
Montgomery,1970,623799
Montgomery,1960,516682
Montgomery,1950,353068
Montgomery,1940,289247
Montgomery,1930,265804
Montgomery,1920,199310
Montgomery,1910,169590
Montgomery,1900,138995
Montour,2010,18267
Montour,2000,18236
Montour,1990,17735
Montour,1980,16675
Montour,1970,16508
Montour,1960,16730
Montour,1950,16001
Montour,1940,15466
Montour,1930,14517
Montour,1920,14080
Montour,1910,14868
Montour,1900,15526
Northampton,2010,297735
Northampton,2000,267066
Northampton,1990,247105
Northampton,1980,225418
Northampton,1970,214368
Northampton,1960,201412
Northampton,1950,185243
Northampton,1940,168959
Northampton,1930,169304
Northampton,1920,153506
Northampton,1910,127667
Northampton,1900,99687
Northumberland,2010,94528
Northumberland,2000,94556
Northumberland,1990,96771
Northumberland,1980,100381
Northumberland,1970,99190
Northumberland,1960,104138
Northumberland,1950,117115
Northumberland,1940,126887
Northumberland,1930,128504
Northumberland,1920,122079
Northumberland,1910,111420
Northumberland,1900,90911
Perry,2010,45969
Perry,2000,43602
Perry,1990,41172
Perry,1980,35718
Perry,1970,28615
Perry,1960,26582
Perry,1950,24782
Perry,1940,23213
Perry,1930,21744
Perry,1920,22875
Perry,1910,24136
Perry,1900,26263
Philadelphia,2010,1526006
Philadelphia,2000,1517550
Philadelphia,1990,1585577
Philadelphia,1980,1688210
Philadelphia,1970,1948609
Philadelphia,1960,2002512
Philadelphia,1950,2071605
Philadelphia,1940,1931334
Philadelphia,1930,1950961
Philadelphia,1920,1823779
Philadelphia,1910,1549008
Philadelphia,1900,1293697
Pike,2010,57369
Pike,2000,46302
Pike,1990,27966
Pike,1980,18271
Pike,1970,11818
Pike,1960,9158
Pike,1950,8425
Pike,1940,7452
Pike,1930,7483
Pike,1920,6818
Pike,1910,8033
Pike,1900,8766
Potter,2010,17457
Potter,2000,18080
Potter,1990,16717
Potter,1980,17726
Potter,1970,16395
Potter,1960,16483
Potter,1950,16810
Potter,1940,18201
Potter,1930,17489
Potter,1920,21089
Potter,1910,29729
Potter,1900,30621
Schuylkill,2010,148289
Schuylkill,2000,150336
Schuylkill,1990,152585
Schuylkill,1980,160630
Schuylkill,1970,160089
Schuylkill,1960,173027
Schuylkill,1950,200577
Schuylkill,1940,228331
Schuylkill,1930,235505
Schuylkill,1920,217754
Schuylkill,1910,207894
Schuylkill,1900,172927
Snyder,2010,39702
Snyder,2000,37546
Snyder,1990,36680
Snyder,1980,33584
Snyder,1970,29269
Snyder,1960,25922
Snyder,1950,22912
Snyder,1940,20208
Snyder,1930,18836
Snyder,1920,17129
Snyder,1910,16800
Snyder,1900,17304
Somerset,2010,77742
Somerset,2000,80023
Somerset,1990,78218
Somerset,1980,81243
Somerset,1970,76037
Somerset,1960,77450
Somerset,1950,81813
Somerset,1940,84957
Somerset,1930,80764
Somerset,1920,82112
Somerset,1910,67717
Somerset,1900,49461
Sullivan,2010,6428
Sullivan,2000,6556
Sullivan,1990,6104
Sullivan,1980,6349
Sullivan,1970,5961
Sullivan,1960,6251
Sullivan,1950,6745
Sullivan,1940,7504
Sullivan,1930,7499
Sullivan,1920,9520
Sullivan,1910,11293
Sullivan,1900,12134
Susquehanna,2010,43356
Susquehanna,2000,42238
Susquehanna,1990,40380
Susquehanna,1980,37876
Susquehanna,1970,34344
Susquehanna,1960,33137
Susquehanna,1950,31970
Susquehanna,1940,33893
Susquehanna,1930,33806
Susquehanna,1920,34763
Susquehanna,1910,37746
Susquehanna,1900,40043
Tioga,2010,41981
Tioga,2000,41373
Tioga,1990,41126
Tioga,1980,40973
Tioga,1970,39691
Tioga,1960,36614
Tioga,1950,35474
Tioga,1940,35004
Tioga,1930,31871
Tioga,1920,37118
Tioga,1910,42829
Tioga,1900,49086
Union,2010,44947
Union,2000,41624
Union,1990,36176
Union,1980,32870
Union,1970,28603
Union,1960,25646
Union,1950,23150
Union,1940,20247
Union,1930,17468
Union,1920,15850
Union,1910,16249
Union,1900,17592
Venango,2010,54984
Venango,2000,57565
Venango,1990,59381
Venango,1980,64444
Venango,1970,62353
Venango,1960,65295
Venango,1950,65328
Venango,1940,63958
Venango,1930,63226
Venango,1920,59184
Venango,1910,56359
Venango,1900,49648
Warren,2010,41815
Warren,2000,43863
Warren,1990,45050
Warren,1980,47449
Warren,1970,47682
Warren,1960,45582
Warren,1950,42698
Warren,1940,42789
Warren,1930,41453
Warren,1920,40024
Warren,1910,39573
Warren,1900,38946
Washington,2010,207820
Washington,2000,202897
Washington,1990,204584
Washington,1980,217074
Washington,1970,210876
Washington,1960,217271
Washington,1950,209628
Washington,1940,210852
Washington,1930,204802
Washington,1920,188992
Washington,1910,143680
Washington,1900,92181
Wayne,2010,52822
Wayne,2000,47722
Wayne,1990,39944
Wayne,1980,35237
Wayne,1970,29581
Wayne,1960,28237
Wayne,1950,28478
Wayne,1940,29934
Wayne,1930,28420
Wayne,1920,27435
Wayne,1910,29236
Wayne,1900,30171
Westmoreland,2010,365169
Westmoreland,2000,369993
Westmoreland,1990,370321
Westmoreland,1980,392294
Westmoreland,1970,376935
Westmoreland,1960,352629
Westmoreland,1950,313179
Westmoreland,1940,303411
Westmoreland,1930,294995
Westmoreland,1920,273568
Westmoreland,1910,231304
Westmoreland,1900,160175
Wyoming,2010,28276
Wyoming,2000,28080
Wyoming,1990,28076
Wyoming,1980,26433
Wyoming,1970,19082
Wyoming,1960,16813
Wyoming,1950,16766
Wyoming,1940,16702
Wyoming,1930,15517
Wyoming,1920,14101
Wyoming,1910,15509
Wyoming,1900,17152
York,2010,434972
York,2000,381751
York,1990,339574
York,1980,312963
York,1970,272603
York,1960,238336
York,1950,202737
York,1940,178022
York,1930,167135
York,1920,144521
York,1910,136405
York,1900,116413
